Time,Accuracy,Speed,BatteryPower,Acceleration,BatteryPower_SG,Speed_SG,Acceleration_SG
420.2,0.04,13.504,3853.629,-0.07,3847.42923776224,13.5027645687646,-0.0519347319347159
420.3,0.039,13.494,3846.865,-0.1,3846.33343822844,13.4961188811189,-0.0712354312354387
420.4,0.038,13.489,3838.431,-0.05,3845.31222377622,13.4885174825175,-0.0756643356643359
420.5,0.038,13.484,3835.677,-0.05,3842.67096503497,13.480986013986,-0.0698368298368132
420.6,0.04,13.471,3843.372,-0.13,3841.66430536131,13.4745501165501,-0.049137529137549
420.7,0.041,13.467,3848.088,-0.04,3843.62316317016,13.4711585081585,-0.0296969696969746
420.8,0.042,13.467,3842.337,0.0,3845.12247785548,13.4686107226107,-0.033403263403253
420.9,0.042,13.467,3844.875,0.0,3842.93952214452,13.4644778554779,-0.0380186480186428
421.0,0.041,13.467,3843.146,0.0,3838.76822843823,13.461006993007,-0.0118997668997762
421.1,0.04,13.467,3836.144,0.0,3831.2245967366,13.4620979020979,0.0246620046620119
421.2,0.04,13.456,3820.249,-0.11,3821.15245221445,13.4659393939394,0.0272610722610904
421.3,0.04,13.452,3805.283,-0.04,3811.87084382284,13.4675501165501,-0.0004778554778628
421.4,0.04,13.467,3809.718,0.15,3775.373,13.4658438228438,-0.0353729603729678
421.5,0.041,13.483,3796.506,0.16,3556.45967599068,13.4604755244755,-0.0595337995337928
421.6,0.044,13.471,3792.72,-0.12,3383.34897902098,13.4539370629371,-0.0667715617715585
421.7,0.044,13.438,3807.232,-0.33,3491.2326969697,13.4471212121212,-0.0755710955710985
421.8,0.043,13.426,3818.628,-0.12,4301.99056410256,13.4388228438228,-0.0798484848484949
421.9,0.042,13.424,4170.112,-0.02,5746.8297972028,13.4311515151515,-0.0413286713286733
422.0,0.042,13.435,6829.161,0.11,7654.11527972028,13.4305571095571,0.0537412587412389
422.1,0.041,13.442,9995.17,0.07,9790.8364988345,13.4418997668998,0.151410256410269
422.2,0.041,13.456,13470.569,0.14,11901.9475594406,13.4608391608392,0.210093240093248
422.3,0.041,13.481,14518.799,0.25,13716.966993007,13.4839184149184,0.241433566433576
422.4,0.042,13.513,14994.517,0.32,14960.0884708625,13.5091258741259,0.257424242424268
422.5,0.042,13.542,15160.401,0.29,15427.7102913753,13.5354032634033,0.272051282051207
422.6,0.041,13.562,15165.628,0.2,15405.1406037296,13.5635361305361,0.285198135198142
422.7,0.045,13.596,15063.69,0.34,15149.3248881119,13.5924428904429,0.291165501165541
422.8,0.05,13.617,14938.895,0.21,15012.0143263403,13.6217692307692,0.287657342657351
422.9,0.052,13.647,14832.299,0.3,14894.5639300699,13.6499743589744,0.296946386946403
423.0,0.05,13.681,14806.826,0.34,14807.1692937063,13.6811585081585,0.310069930069866
423.1,0.049,13.716,14757.872,0.35,14750.7096363636,13.7119883449883,0.305186480186483
423.2,0.048,13.746,14713.692,0.3,14727.0452354312,13.7421958041958,0.306666666666686
423.3,0.047,13.77,14718.64,0.24,14722.9085524476,13.7733216783217,0.311095571095601
423.4,0.046,13.811,14734.274,0.41,14728.0293449883,13.8044149184149,0.316538461538478
423.5,0.046,13.83,14746.721,0.19,14741.1888321678,13.8366293706294,0.338951048950967
423.6,0.045,13.871,14780.139,0.41,14770.427037296,13.8722051282051,0.378566433566462
423.7,0.044,13.908,14795.401,0.37,14810.9461655012,13.9123426573427,0.410955710955753
423.8,0.042,13.953,14832.022,0.45,14854.4225198135,13.9543962703963,0.429685314685331
423.9,0.041,13.998,14897.815,0.45,14893.5236899767,13.9982797202797,0.444172494172504
424.0,0.04,14.047,14945.404,0.49,14924.7753356643,14.0432307692308,0.433566433566338
424.1,0.039,14.089,14980.676,0.42,14949.8809463869,14.084993006993,0.399370629370642
424.2,0.038,14.122,14980.446,0.33,14970.6604638695,14.1231048951049,0.366235431235443
424.3,0.038,14.165,14954.506,0.43,14982.9644568765,14.1582400932401,0.346480186480227
424.4,0.038,14.189,14966.108,0.24,14988.9032494172,14.1924009324009,0.329254079254114
424.5,0.036,14.222,15002.668,0.33,14992.4927575758,14.2240909090909,0.305547785547697
424.6,0.039,14.249,15016.059,0.27,14997.3858624709,14.2535104895105,0.30354312354313
424.7,0.046,14.291,15025.431,0.42,15017.2821282051,14.2847995337995,0.315058275058302
424.8,0.047,14.325,15035.593,0.34,15047.5886503497,14.3165221445221,0.346701631701658
424.9,0.046,14.348,15046.72,0.23,15076.9285058275,14.3541398601399,0.406293706293722
425.0,0.044,14.383,15097.041,0.35,15112.2483519814,14.3977808857809,0.459009324009216
425.1,0.043,14.441,15179.872,0.58,15198.9743146853,14.4459417249417,0.470547785547817
425.2,0.055,14.486,15202.438,0.45,15403.229995338,14.4918904428904,0.450920745920777
425.3,0.082,14.548,15216.758,0.62,15544.1990652681,14.5361258741259,0.427668997669019
425.4,0.079,14.597,15257.548,0.49,15402.3146270396,14.5774242424242,0.379650349650364
425.5,0.077,14.617,15248.964,0.2,14792.5254918415,14.6120559440559,0.311934731934667
425.6,0.074,14.626,14688.18,0.09,13720.5611095571,14.6398111888112,0.254708624708645
425.7,0.071,14.652,12567.317,0.26,12208.9137762238,14.6629976689977,0.198951048951053
425.8,0.068,14.679,10051.48,0.27,10352.6962540793,14.6796013986014,0.145885780885785
425.9,0.065,14.698,7706.477,0.19,8256.98994871795,14.6921748251748,0.115058275058286
426.0,0.063,14.711,6037.854,0.13,6178.72380652681,14.7026130536131,0.0821678321678201
426.1,0.061,14.711,4370.206,0.0,4410.31686480187,14.7086083916084,0.0187645687645787
426.2,0.059,14.704,3025.463,-0.07,3074.56056643357,14.706365967366,-0.0458741258741328
426.3,0.057,14.693,1843.26,-0.11,2056.07756410256,14.6994335664336,-0.0882167832168041
426.4,0.055,14.689,1327.208,-0.04,1282.25313752914,14.6887226107226,-0.118659673659678
426.5,0.053,14.679,908.003,-0.1,700.804491841492,14.6757016317016,-0.13648018648015
426.6,0.052,14.66,287.182,-0.19,325.108764568765,14.6614265734266,-0.148962703962709
426.7,0.05,14.648,1.717,-0.12,86.3398111888112,14.6459090909091,-0.166853146853142
426.8,0.048,14.626,-65.675,-0.22,-53.8211678321678,14.6280559440559,-0.187785547785577
426.9,0.047,14.609,-100.151,-0.17,-159.689722610723,14.608351981352,-0.197867132867151
427.0,0.046,14.589,-156.174,-0.2,-190.356848484849,14.5884825174825,-0.193006993006924
427.1,0.051,14.57,-146.034,-0.19,-157.219368298368,14.5697505827506,-0.186515151515174
427.2,0.056,14.548,-129.298,-0.22,-133.205827505828,14.5511794871795,-0.184160839160851
427.3,0.055,14.533,-112.062,-0.15,-114.227813519814,14.5329184149184,-0.175431235431241
427.4,0.053,14.516,-74.135,-0.17,-87.8857832167832,14.5160932400932,-0.160198135198151
427.5,0.052,14.503,-55.415,-0.13,-61.3138321678322,14.5008787878788,-0.147960372960327
427.6,0.05,14.485,-31.826,-0.18,-96.9648344988345,14.4865011655012,-0.14441724941725
427.7,0.047,14.467,7.838,-0.18,-124.323475524476,14.4719953379953,-0.149825174825197
427.8,0.046,14.462,36.204,-0.05,-283.037107226107,14.4565361305361,-0.162342657342665
427.9,0.045,14.444,65.679,-0.18,-205.483715617716,14.4395268065268,-0.172062937062948
428.0,0.044,14.426,168.957,-0.18,508.961386946387,14.4221235431235,-0.16361305361303
428.1,0.044,14.407,992.361,-0.19,1828.3431981352,14.4068041958042,-0.134615384615387
428.2,0.045,14.393,1996.053,-0.14,3555.44803496503,14.3952004662005,-0.0930769230769144
428.3,0.044,14.38,5634.435,-0.13,5458.3584965035,14.3881888111888,-0.0252097902097962
428.4,0.043,14.385,8876.423,0.05,7309.34621445221,14.3901585081585,0.0568181818181778
428.5,0.042,14.397,9879.171,0.12,8883.9564032634,14.3995524475525,0.119673659673642
428.6,0.047,14.415,10039.278,0.18,9967.18656410257,14.4140932400932,0.151375291375295
428.7,0.049,14.433,10030.949,0.18,10490.3238811189,14.4298275058275,0.161841491841504
428.8,0.05,14.455,10055.035,0.22,10384.9314242424,14.4464615384615,0.160967365967375
428.9,0.057,14.467,10070.833,0.12,10156.7444102564,14.462020979021,0.156223776223774
429.0,0.069,14.474,10044.263,0.07,10107.5252680653,14.4777062937063,0.156491841491801
429.1,0.067,14.483,9998.973,0.09,10083.4348648019,14.4933193473193,0.152972027972042
429.2,0.064,14.507,9950.862,0.24,10034.0228951049,14.5083006993007,0.154044289044304
429.3,0.062,14.527,9870.022,0.2,9801.00182051282,14.5241282051282,0.161386946386948
429.4,0.059,14.545,9645.114,0.18,9382.19134498835,14.5405780885781,0.159708624708621
429.5,0.057,14.556,8923.16,0.11,8764.25587645687,14.5560699300699,0.137587412587385
429.6,0.055,14.564,8211.224,0.08,7977.91648951049,14.5680955710956,0.0895221445221546
429.7,0.053,14.578,6878.093,0.14,7102.59121678322,14.5739743589744,0.0369813519813465
429.8,0.052,14.578,6091.44,0.0,6228.97128904429,14.5754918414918,-0.0012004662004639
429.9,0.05,14.578,5292.459,0.0,5461.07633333333,14.5737342657343,-0.0266317016317001
